,field,foul,fop,home_plate
48,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
49,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
50,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
51,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
52,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
53,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
54,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
55,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
56,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
57,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
58,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
59,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
60,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
61,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
62,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
